Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Mix
31,31993.78,2942.148333333333,6,6,3097,2,8,14.0,6.28,1.0,818.22,37.190189832300256,1,45.14129822463578,23.27102220438635,465.8025129043112,Standard
31,31993.78,2942.148333333333,6,6,7,2,8,14.0,6.28,1.0,818.22,27.64032332825704,1,45.14129822463578,86.03296639485399,433.0405687138437,Standard
46,32284.62,2749.762492341615,6,7,17,6,9,1150.0,9.22,10.0,1283.37,28.86135378675188,1,251.66006801375065,241.57066048913865,235.23027915549545,Standard
46,32284.62,2749.762492341615,6,7,17,6,11,9.0,9.22,10.0,1283.37,28.973150435595823,1,251.66006801375065,213.7900358616972,263.0109037829369,Standard
32,19300.34,1512.361666666667,6,7,17,5,51,18.0,9.95,8.0,2430.21,34.47884913064688,1,49.57206224445275,200.427091322806,191.237013099408,Bad
32,19300.34,1512.361666666667,6,7,17,5,51,19.0,9.95,8.0,2430.21,37.36390440294918,1,49.57206224445275,44.50950984607408,337.15459457613986,Bad
42,10183.015,1074.5845833333333,7,5,17,5,48,21.0,7.97,8.0,1672.43,35.682262655668886,1,37.58807283812568,101.77505505754374,248.0953304376639,Bad
42,10183.015,1074.5845833333333,7,5,17,-100,48,21.0,7.97,8.0,1672.43,23.679725156723148,1,37.58807283812568,50.04937041611942,299.82101507908817,Bad
42,10183.015,1074.5845833333333,7,5,17,5,48,21.0,7.97,8.0,1672.43,33.72430069146658,1,37.58807283812568,66.98367928238576,292.8867062128219,Bad
32,12600.445,782.0370833333334,5,5,10,3,25,19.0,15.79,11.0,569.8,33.64942832302815,1,26.060347529205966,63.56542786454087,278.5779329395865,Standard
48,20787.69,1999.3075,8,6,14,3,22,14.0,1.13,3.0,614.6,38.95299631544785,0,42.22199265643221,49.50353558666441,358.20522175690337,Standard
48,20787.69,1999.3075,8,6,14,3,22,15.0,1.13,3.0,614.6,26.54850967751556,0,42.22199265643221,257.6586730041918,190.050084339376,Standard
49,20787.69,1999.3075,8,6,14,3,22,14.0,1.13,5.0,614.6,35.33001552852757,0,42.22199265643221,106.328847397762,341.3799099458058,Standard
30,34290.12,2697.51,9,8,25,7,49,9.0,13.96,13.0,2686.81,38.94266783614944,1,185.1119825795006,167.28030215512513,187.3587152653744,Standard
30,34290.12,2697.51,9,8,25,7,52,11.0,13.96,13.0,2686.81,34.77166896023211,1,185.1119825795006,50.45037518047948,284.18864224002004,Standard
30,34290.12,2697.51,9,8,25,7,52,10.0,12.96,13.0,2686.81,24.08827489180331,1,185.1119825795006,64.12030667631363,260.51871074418585,Standard
33,43070.24,3622.186666666666,3,3,18,1,6,8.0,5.9700000000000015,8.0,1233.1,27.548973092343964,1,30.57608482316153,142.3748859905269,449.2676958529782,Standard
33,43070.24,3622.186666666666,3,3,18,1,11,7.0,8.97,8.0,1233.1,31.553922400187425,1,30.57608482316153,28.187146041020004,543.4554358024851,Standard
41,28572.39,2210.0325,6,3,15,3,25,10.0,4.89,2.0,400.07,32.23063700006014,1,69.60292048199007,10000.0,217.06066712009587,Standard
41,28572.39,2210.0325,6,3,15,3,25,12.0,4.89,2.0,400.07,31.909035592946104,1,69.60292048199007,139.64054008224986,271.75978943576007,Standard
38,39641.54,3007.461666666666,10,211,25,6,61,13.0,1.54,8.0,2258.73,32.77593660463945,1,172.38252735862687,159.88123200781456,258.4824073002253,Bad
55,20186.02,1684.168333333333,1,5,1,2,5,6.0,6.83,4.0,413.32,30.419567349784646,0,29.534583720496048,48.014654022904885,340.8675955899324,Good
55,20186.02,1684.168333333333,1,5,1,2,5,5.0,6.83,4.0,413.32,40.296580610984286,0,29.534583720496048,55.934633624194056,332.9476159886433,Good
44,18627.64,1387.303333333333,7,7,19,6,31,23.0,5.07,7.0,1793.54,34.78982153993944,1,65.13948777561222,74.3042407099912,259.2866048477299,Bad
22,12986.745,959.22875,4,3,10,2,27,17.0,11.8,7.0,1489.49,25.77541495147188,1,16.719300227776053,99.16492465658864,260.0386501156353,Standard
22,12986.745,959.22875,4,3,10,2,30,16.0,11.8,7.0,1489.49,26.415502246528455,1,16.719300227776053,49.9102338322073,319.2933409400166,Standard
-500,12986.745,959.22875,4,3,10,2,30,14.0,11.8,7.0,1489.49,27.34509835554881,1,16.719300227776053,76.18991869541101,283.01365607681294,Standard
44,58317.0,4664.75,8,5,9,6,18,20.0,16.58,10.0,98.97,36.34203464170722,1,149.89719942100822,162.73642005944183,433.84138051954994,Standard
44,58317.0,4664.75,8,5,9,6,15,20.0,16.58,10.0,98.97,27.66897220867021,1,149.89719942100822,112.7241835063515,443.8536170726403,Standard
37,42171.98,3764.331666666667,2,7,10,3,4,10.0,2.58,6.0,556.91,36.578239192701815,0,102.7629131170904,214.14104649116825,329.529207058408,Good
36,71681.4,5799.45,3,6,15,-100,8,8.0,10.44,0.0,1293.02,23.808046098437945,1,53.92351397165268,306.99628734014715,479.0251986882001,Standard
16,29469.98,2227.8316666666665,7,7,24,5,49,21.0,26.94,12.0,3421.66,32.59207553656722,1,69.68545857227979,31.60260520923378,361.49510288515313,Bad
20,72559.36,6284.613333333334,4,5,17,4,14,19.0,2.74,5.0,1173.7,29.71024332258681,0,215.83917063897167,374.7960686011537,297.8260940932082,Standard
37,15566.02,1423.168333333333,8,5,32,4,12,20.0,3.24,9.0,1693.95,30.77530249613676,1,43.07051960231588,85.06097027152596,304.1853434594915,Standard
37,15566.02,1423.168333333333,8,5,32,4,17,20.0,9.24,9.0,1693.95,24.03584985300275,1,43.07051960231588,147.41818402641738,241.8281297046001,Standard
19,66567.32,5800.276666666668,5,7,5,2,7,15.0,5.67,2.0,233.79,26.47501157048493,0,100.18936089086122,107.65137008979312,622.1869356860124,Standard
19,66567.32,5800.276666666668,5,7,5,2,7,15.0,5.67,2.0,233.79,40.303827080568375,0,100.18936089086122,100.39587069098452,619.442435084821,Standard
33,30788.44,2623.703333333333,7,9,31,6,50,21.0,20.73,9.0,3470.08,36.226656344628886,1,114.533020898938,296.1071984225468,141.7301140118485,Bad
33,30788.44,2623.703333333333,7,9,31,6,44,20.0,17.73,13.0,3470.08,33.491468635341825,1,114.533020898938,343.2481544688096,94.5891579655858,Bad
42,20574.47,1740.539166666667,6,3,14,4,6,10.0,14.74,11.0,749.95,39.73211698649768,1,49.348666321498655,65.93064944867074,328.7746008964973,Standard
42,20574.47,1740.539166666667,6,3,14,4,6,12.0,10.74,11.0,749.95,34.37783509597484,1,49.348666321498655,43.56526478885986,321.13998555630815,Standard
339,148699.32,12432.61,3,4,5,3,13,6.0,9.2,1.0,949.38,31.242582087119523,0,364.9151774048712,998.6343354897116,149.71148710541732,Good
22,148699.32,12432.61,3,4,5,3,13,4.0,9.2,1.0,949.38,32.94616475327622,0,364.9151774048712,1049.8682168332366,108.47760576189216,Good
22,148699.32,12432.61,3,4,5,3,13,6.0,9.2,1.0,949.38,30.13624117588956,0,364.9151774048712,296.80468401164023,821.5411385834888,Good
16,55829.79,4369.4825,10,10,18,8,30,21.0,27.99,11.0,3422.49,36.47040878115544,1,314.90178526768176,349.47676962445365,62.56969510786456,Bad
16,55829.79,4369.4825,10,10,18,8,30,16.0,27.99,11.0,3422.49,25.42853525508577,1,314.90178526768176,374.60610659022217,27.440358142096105,Bad
16,55829.79,4369.4825,10,10,4224,8,34,20.0,27.99,15.0,3422.49,26.42666790426557,1,314.90178526768176,137.49104896203892,234.55541577027927,Bad
27,14165.23,1057.4358333333332,7,10,33,9,54,24.0,8.82,11.0,2797.17,37.84559431933441,1,58.86844083860843,124.5051788964826,212.3699635982423,Bad
31,87215.68,7489.973333333332,2,6,8,2,2,6.0,10.98,0.0,680.77,26.45454790745145,0,121.68201673654264,579.8625969032331,317.4527196935575,Good
43,81842.28,6810.19,10,9,25,9,20,19.0,16.25,11.0,3053.16,34.64095601413508,1,574.0657978713467,55.371438115591175,291.581764013062,Bad
39,95956.5,8279.375,8,4,11,2,28,10.0,12.94,7.0,1079.73,41.72201510339915,0,95.5216287821567,206.3335930448604,766.0822781729829,Standard
39,95956.5,8279.375,8,4,11,2,23,10.0,7.939999999999999,7.0,1079.73,28.91782480697284,0,95.5216287821567,437.4900382996484,574.9258329181949,Standard
26,49967.01,4091.9175,6,5,31,6,27,13.0,19.87,12.0,2253.95,29.132503896515377,1,156.00331166279182,450.92634217999466,92.26209615721348,Standard
26,49967.01,4091.9175,6,5,31,6,27,11.0,16.87,12.0,2253.95,26.041476458839284,1,156.00331166279182,120.77377718668968,412.4146611505183,Standard
26,49967.01,4091.9175,6,5,31,6,27,12.0,19.87,12.0,2253.95,26.3161966456708,1,156.00331166279182,189.42998072111016,323.75845761609787,Standard
14,39887.22,3224.935,9,9,16,5,57,19.0,22.25,14.0,3119.6,32.08834596649757,1,133.47084524343262,132.51971818231706,306.5029365742504,Bad
15,39887.22,3224.935,9,9,16,5,55,19.0,17.25,368.0,3119.6,34.516948022564755,1,133.47084524343262,352.1155274542753,126.90712730229212,Bad
44,14129.76,1023.2175884600924,8,5,21,8,62,18.0,5.51,6.0,4071.62,30.47662041670941,1,70.97506654794734,14.89687808240302,254.63846690955745,Bad
44,14129.76,1023.2175884600924,8,5,21,8,62,16.0,5.51,8.0,4071.62,35.591864492457645,1,77521.0,103.66546556775072,205.8698794242097,Bad
37,17251.38,1654.615,6,3,7,7,8,18.0,15.06,10.0,2431.64,37.63832057733276,1,57.35116518894053,38.11306460513448,329.99727020592496,Standard
23,36822.29,3132.524166666666,8,7,6,4,14,19.0,5.79,5.0,125.25,23.9825937667405,0,95.8007129241996,48.255463313051976,409.1962404294151,Standard
23,36822.29,3132.524166666666,8,7,6,4,14,19.0,5.79,5.0,125.25,30.366771673201672,0,95.8007129241996,84.65669024985695,382.7950134926101,Standard
21,69977.6,5978.466666666667,10,7,20,9,49,18.0,6.81,15.0,3042.36,34.69890141102788,1,485.75043098703753,205.5147384650663,186.5814972145629,Bad
17,78988.48,6449.373333333332,9,5,29,7,27,19.0,15.27,10.0,1746.9,28.4224252950053,1,291.78276034215287,152.13827299230454,461.016299998876,Bad
-500,41746.76,3651.896666666667,8,5,31,3,62,21.0,9.81,11.0,1936.79,39.70319208604806,1,102.28339754384292,10000.0,374.5851577794634,Bad
46,41746.76,3651.896666666667,8,5,31,3,57,21.0,16.810000000000002,11.0,1936.79,32.682896118289925,1,102.28339754384292,168.1213269014578,364.784942221366,Bad
46,41746.76,3651.896666666667,8,5,31,3,62,21.0,9.81,1836.0,1936.79,32.36420486172926,1,102.28339754384292,82.65512862023077,420.2511405025931,Bad
19,73737.36,5936.78,7,3,18,4,20,23.0,13.92,2.0,1219.39,30.877438089901627,1,214.8134632011097,160.9675294633013,467.8970073355889,Standard
19,73737.36,5936.78,7,3,18,4,20,20.0,10.92,5.0,1219.39,38.30456756460622,1,214.8134632011097,257.22999006478324,381.6345467341071,Standard
34,88362.46,7255.538333333334,5,2,8,3,15,8.0,11.01,6.0,325.93,29.97310198091432,0,211.1843903373817,314.1270048541402,460.24243814181153,Good
18,75273.24,6424.022011446845,8,6,5104,5,50,9.0,12.8,8.0,2497.34,37.81143857196421,1,351.36704467467814,270.2923567594496,412.3655871190292,Standard
19,54820.89,4295.4075,8,7,28,6,41,17.0,20.42,11.0,4795.13,29.84794832139709,1,169.48198431622052,325.68127145626,224.3774942275196,Bad
43,58674.66,4824.555,8,5,15,965,62,23.0,1.29,11.0,2425.38,29.824790988882512,1,116.10341691461672,10000.0,573.1634567163999,Bad
31,30390.44,2721.5366666666664,5,6,5,4,19,20.0,8.36,6.0,580.31,39.0985593956832,0,64.84803820501804,329.21463106560134,168.0909973960473,Standard
31,30390.44,2721.5366666666664,5,6,5,4,22,20.0,8.36,6.0,580.31,36.83997819098044,0,64.84803820501804,45.18470250450465,402.120925957144,Standard
43,45207.54,3507.295,8,8,24,6,24,20.0,9.78,13.0,2497.48,26.125446441717568,1,148.91327341500903,32.07149617579405,409.7447304091969,Bad
43,45207.54,3507.295,8,8,24,6,19,22.0,9.78,13.0,2497.48,38.54245777149914,1,148.91327341500903,143.88671149746492,307.92951508752606,Bad
43,45207.54,3507.295,8,8,24,6,24,20.0,9.78,13.0,2497.48,33.964677136761175,1,148.91327341500903,76.84072654148487,374.9755000435061,Bad
18,144546.72,10653.043107889978,0,3,7,2,15,4.0,6.08,1.0,1045.11,37.448141218726136,0,1293.5054487288114,312.65051983225135,981.316923548958,Good
18,144546.72,10653.043107889978,0,3,7,2,15,4.0,6.08,1.0,1045.11,39.35799558859895,0,1293.5054487288114,184.39978362231665,1099.567659758893,Good
19,144546.72,10653.043107889978,0,3,7,2,12,7.0,6.08,2.0,1045.11,30.900038734791277,0,4246.0,665.1148120425618,668.8526313386477,Good
39,30346.35,2651.8625,5,4,14,7,29,9.0,18.8,5.0,523.56,25.307354031106303,1,96.72128021256924,169.11618624382368,289.34878354360706,Standard
47,18681.465,1584.78875,2,3,9,2,1,8.0,3.9,3.0,327.88,28.06382123496347,0,24.8214249786604,71.93630035975555,321.7211496615841,Good
42,10527110.0,690.1116666666667,8,9,31,5,62,15.0,28.52,10.0,4984.82,35.850307949102344,1,36.67512791916932,30.935735656151515,261.40030309134585,Bad
35,72330.98,6300.581666666666,0,3,11,1,1,7.0,4.62,5.0,596.78,33.74384689259225,0,31.37979415843871,261.87254396996724,626.8058285382607,Good
36,72330.98,6300.581666666666,1,4,11,-100,1,3.0,4.62,5.0,596.78,29.963068109536977,0,31.37979415843871,83.86037364309526,764.8179988651327,Good
16,43241.49,3282.269196467356,1444,7,30,6,36,19.0,11.47,10.0,2174.16,33.877016508271254,1,460.4272666027642,59.00626433454359,386.8005225953364,Bad
21,44719.17,3969.5975,6,6,29,7,42,19.0,27.21,14.0,3818.57,24.25286502648052,1,248.599885855438,132.15544933818092,286.2044148063811,Bad
21,44719.17,3969.5975,6,6,29,7,42,19.0,23.21,14.0,3818.57,33.895711192486885,1,248.599885855438,10000.0,292.6806426115781,Bad
42,4602545.0,8527.755,3,3,6,1,4,9.0,3.11,7.0,1374.56,31.22177904222145,0,64.00168567310892,177.27095161401814,851.5028627128729,Good
39,31021.24,2660.636339227669,7,7,11,4,20,20.0,11.21,7.0,852.81,29.05362022009968,0,186.22617257061623,167.46544946804633,287.3857054003354,Standard
8327,134978.24,10541.520749550598,8,5,15,2,9,16.0,9.89,5.0,668.14,41.219522080619285,1,662.7777405037292,514.2045323342211,726.6023109447854,Standard
29,39800.12,3047.6766666666667,7,5,12,3,17,18.0,18.53,4.0,660.69,33.83231835702849,1,58.48765733950958,254.3090005434428,281.97100878371435,Standard
29,39800.12,3047.6766666666667,7,5,12,3,17,18.0,18.53,6.0,660.69,30.3763626789762,1,58.48765733950958,281.0353367330702,245.2446725940869,Standard
18,14841.35,1437.779166666667,6,5,17,7,60,16.0,27.64,6.0,3865.15,25.242774404795504,1,71.54474307214656,147.10528696336212,215.127886631158,Bad
22,66105.4,5653.783333333333,6,8,31,5,21,22.0,5.52,2019.0,1549.56,27.13249466234779,1,214.07212305606225,146.8070958244739,464.4991144527973,Bad
28,15398.95,1548.2458333333334,1,7,5,4,1,0.0,6.41,8.0,343.84,41.27143023516286,0,34.81396985624466,96.29585881449027,313.7147546625984,Good
29,15398.95,1548.2458333333334,1,7,5,4,1,0.0,13.41,8.0,343.84,31.74691660199067,0,34.81396985624466,45.39012955896059,324.6204839181281,Good
19,27070.07,2518.839166666666,7,3,11,4,12,15.0,5.68,6.0,919.76,23.5574646500409,0,73.23331847935155,217.2645486693913,231.38604951792385,Standard
26,27865.26,2606.105,4,3,6,1,22,18.0,19.05,5.0,635.59,38.98423900777389,1,17.69844332156168,10000.0,211.2512958155042,Standard
26,27865.26,2606.105,4,3,6,1,25,16.0,17.05,5.0,635.59,36.043560442424734,1,17.69844332156168,98.13711127795484,394.7749454004835,Standard
34,14205.09,1086.7575,7,10,21,8,33,20.0,19.42,16.0,4845.24,30.66834577212341,1,49.03239546911298,42.28708960267633,297.3562649282107,Bad
34,14205.09,1086.7575,7,10,21,8,33,22.0,19.42,16.0,4845.24,30.99083993733127,1,49.03239546911298,75.19998090431021,274.44337362657683,Bad
28,62320.56,5068.38,9,9,18,5,23,17.0,16.24,15.0,3589.56,23.445625647930694,1,171.34555972446432,181.3238721940792,444.16856808145656,Bad
28,62320.56,5068.38,9,9,18,5,23,15.0,13.239999999999998,15.0,3589.56,24.20949501732343,1,171.34555972446432,407.6435891237029,217.8488511518329,Bad
29,62320.56,5068.38,9,9,18,5,23,15.0,21.24,15.0,3589.56,36.310920358906,1,73057.0,64.07518363280778,521.4172566427279,Bad
25,43758.34,3454.528333333333,5,6,12,2,13,2.0,4.18,2.0,1194.28,37.251135888237904,0,56.31142051341512,101.77200926780856,437.3694035521097,Good
21,144881.68,11877.473333333332,3,4,15,4,5,13.0,10.1,5.0,404.51,32.8610639709642,1,414.65601320398537,10000.0,869.1793278233184,Standard
39,108147.3,8926.275,3,6,6,4,10,21.0,0.5700000000000003,2.0,1113.06,38.70406395775919,1,211.1795815692456,474.04912203129686,497.3987963994576,Standard
39,108147.3,8926.275,3,6,6,4,13,20.0,7.57,2.0,1113.06,28.76673305969088,1,211.1795815692456,818.1044311718832,143.34348725887128,Standard
28,17759.1,1533.925,6,8,19,5,24,20.0,5.2,10.0,3598.39,22.08115310586168,1,64.55062048800421,15.193960535175282,313.6479189768205,Bad
28,17759.1,1533.925,6,8,19,5,24,20.0,5.2,10.0,3598.39,34.132354250666,1,64.55062048800421,183.50916894733345,195.33271056466236,Bad
37,85328.73,6858.7275,3,4,11,1,12,17.0,1.83,2.0,585.05,24.33710788382652,0,68.4589661120162,291.3699980847771,586.0437858032068,Good
27,134321.44,9997.59251367481,3,5,12,4,26,19.0,12.09,4.0,1428.68,26.817094311162485,1,1320.5490633616223,839.3640672591399,293.39302237109433,Standard
25,61008.0,5235.0,10,5,32,4,16,19.0,19.44,17.0,1755.81,25.22776614388638,1,189.4265306646308,74.80924749092921,509.26422184443993,Standard
19,28665.76,2582.813333333333,7,3,5,1,16,7.0,4.32,0.0,1237.46,29.08237270108224,0,22.68817757992469,44.31234274961548,431.2808130037931,Standard
7014,28665.76,2582.813333333333,297,3,5,1,16,11.0,4.32,0.0,1237.46,24.843695761859934,0,22.68817757992469,265.66842762375745,259.9247281296512,Standard
19,56803.71,4620.6425,7,5,25,6,42,23.0,16.23,11.0,2593.44,38.87819909381113,1,187.190218862138,144.6027128035824,380.2713183342796,Bad
32,38364.82,2904.068333333333,9,6,32,4,34,24.0,3.44,12.0,1973.63,29.24692971651018,1,74.85037187731447,85.17822119171014,380.3782402643087,Bad
55,19403.405,1904.9504166666663,1,7,3,-100,13,9.0,3.9,6.0,339.11,36.21984904956449,0,39.2149144347618,12.699574148992587,378.5805530829123,Good
3391,15015.4,1213.2833333333333,5,5,9,-100,25,12.0,5.04,1.0,330.17,35.41314267274036,0,11.685734566072789,62.6793167976386,336.963281969622,Good
20,15015.4,1213.2833333333333,5,5,9,1,25,8.0,5.04,5.0,330.17,24.650308446583686,0,11.685734566072789,47.30795792957788,352.3346408376826,Good
34,19777.05,1728.0875,5,3,3,3,16,3.0,5.95,1.0,186.16,25.758671794694795,0,29.045533320072103,11.76411839618042,371.9990982837474,Good
25,20188.02,1851.335,4,3,6,3,12,6.0,1.31,0.0,399.92,27.42703869347532,0,25.58028081581637,71.70424222288531,367.8489769612984,Good
25,20188.02,1851.335,4,3,6,-100,9,6.0,1.31,0.0,399.92,39.98483628557661,0,25.58028081581637,66.62197879458277,352.93124038960093,Good
32,55151.04,4704.92,10,6,23,6,31,17.0,10.64,9.0,1743.83,40.90438823408883,1,171.82306738090188,85.60562277570746,463.0633098433906,Bad
32,55151.04,4704.92,10,6,23,-100,30,17.0,10.64,12.0,1743.83,38.66936971571445,1,171.82306738090188,119.04479266560482,429.6241399534933,Bad
29,147499.6,12353.633333333331,2,2,12,2,14,2.0,4.21,2.0,1250.67,34.91628875699495,0,192.2064832741598,131.381035832214,1151.7758142269597,Good
29,7873905.0,12353.633333333331,2,2,12,2,16,6.0,4.21,2.0,1250.67,36.95384495908608,0,192.2064832741598,232.52138973022844,1060.635460328945,Good
30,147499.6,12353.633333333331,2,2,12,2,14,2.0,4.21,2.0,1250.67,32.24519332234832,0,192.2064832741598,467.9655372342429,825.1913128249307,Good
43,20005.22,1683.101666666667,8,3,6,4,17,20.0,24.33,13.0,1859.45,29.727595591113804,1,59.51321413246297,89.61544253201929,299.1815100021844,Standard
43,20005.22,1683.101666666667,8,3,6,4,22,20.0,18.33,13.0,1859.45,27.321489310601788,1,59.51321413246297,144.39617064631614,244.4007818878876,Standard
33,19795.52,1662.6266666666668,7,10,34,8,20,21.0,22.79,15.0,3135.02,33.64511754560509,1,130.47547071749042,122.2216696933367,193.5655262558396,Bad
34,60938.13,5163.1775,10,8,31,8,23,18.0,17.49,9.0,3947.24,34.57781446226862,1,378.304673376643,106.61205768032023,281.40101894303683,Bad
43,57610.32,4517.86,8,10,25,9,41,20.0,21.31,7.0,4428.64,34.332162214632895,1,256.2341792269896,305.5313239715772,150.02049680143318,Bad
43,57610.32,4517.86,8,10,25,-100,38,23.0,21.31,7.0,4428.64,23.69837787027572,1,256.2341792269896,118.77673442763322,326.7750863453772,Bad
37,18717.02,1294.7516666666668,8,5,15,5,14,18.0,10.3,10.0,2103.99,29.864136905148,1,60.64699329311761,29.939366844700032,298.88880652884905,Standard
27,63536.98,5382.748333333334,4,5,12,2,29,17.0,14.78,9.0,89.62,26.02166195665192,1,69.10085253082353,89.69025633675682,619.4837244657531,Standard
28,63536.98,5382.748333333334,4,5,12,2,32,16.0,14.78,9.0,89.62,27.936702558381217,1,69.10085253082353,112.47112168923464,596.7028591132752,Standard
-500,63536.98,5382.748333333334,4,5,12,2,29,16.0,14.78,9.0,89.62,41.39783541429952,1,8098.0,218.34718786745935,500.8267929350504,Standard
40,9983.345,758.9454166666666,7,11,15,5,27,16.0,10.26,12.0,1823.35,31.475586596695763,1,29.24151868964153,44.72215422177728,291.9308687552478,Standard
40,9983.345,758.9454166666666,7,11,15,5,22,16.0,10.26,12.0,1823.35,36.07825750942549,1,29.24151868964153,27.261180165475903,269.3918428115492,Standard
40,9983.345,758.9454166666666,7,11,15,-100,19,16.0,10.26,12.0,1823.35,24.88200160745722,1,29.24151868964153,18.683938382039493,287.96908459498565,Standard
15,27796.42,2300.3683333333333,6,5,16,2,18,14.0,11.85,10.0,1073.94,36.17666388955485,1,36.06763128414976,158.19484043149313,295.7743616176905,Standard
42,140014.36,11662.863333333333,3,7,18,4,27,10.0,3.9,3.0,1151.7,34.84387789539227,0,348.6203964507333,419.6356232347504,648.0303136478493,Standard
48,37071.2,3006.2666666666664,1,6,6,4,14,4.0,11.56,4.0,869.99,39.99881581174791,0,74.69027138495908,98.89156721151146,407.04482807019616,Good
48,37071.2,3006.2666666666664,1,6,6,4,18,5.0,11.56,4.0,869.99,33.39082392629834,0,74.69027138495908,295.7627580358139,220.17363724589367,Good
21,41735.55,3357.9625,0,3,8,4,14,6.0,11.25,205.0,1480.92,34.239345546365705,0,109.61414671334232,255.11037967904,251.07172360761768,Good
38,40391.66,3357.971666666667,10,7,18,3,35,21.0,3.51,12.0,1950.62,37.92813470158226,1,60.370828399887685,104.6817559513854,430.7445823153936,Bad
38,40391.66,3357.971666666667,10,7,18,3,35,23.0,3.51,12.0,1950.62,28.72534805826157,1,60.370828399887685,41.73545391058706,483.690884356192,Bad
38,40391.66,3357.971666666667,10,7,18,3,33,23.0,3.51,13.0,1950.62,23.630472550185274,1,60.370828399887685,67.62792779692647,467.7984104698526,Bad
19,7441.295,822.5517437389348,5,8,33,6,12,429.0,11.12,13.0,2569.3,36.466062893780325,1,75.97491614797292,36.48450486952725,315.4075435768985,Standard
41,19065.32,1497.7766666666666,3,6,5,5,25,11.0,7.81,5.0,2008.06,25.61912250094436,1,76.21247400832009,28.47047558456697,295.09471707377963,Standard
41,19065.32,1497.7766666666666,3,6,5,5,23,14.0,7.81,5.0,2008.06,40.12886281523158,1,76.21247400832009,57.88926089099711,305.6759317673495,Standard
46,24585.55,2316.795833333333,3,4,14,2,13,14.0,11.35,1.0,195.38,26.888792887136383,1,30.447776935964107,299.9475980928114,191.2842083045578,Standard
47,24585.55,2316.795833333333,3,4,14,2,10,14.0,16.35,1.0,195.38,30.147965293362173,1,30.447776935964107,34.79465480814094,406.4371515892283,Standard
27,15013.73,1127.1441666666667,7,4,14,6,23,8.0,8.22,7.0,1403.17,26.39210076363373,1,51.547924156742056,74.97566925866485,276.19082325125976,Standard
4472,15013.73,1127.1441666666667,7,4,14,6,20,9.0,5.2200000000000015,7.0,1403.17,34.07695595965904,1,51.547924156742056,63.65249855969525,257.5139939502294,Standard
